Date,Open,High,Low,Close,Volume
25-Jul-17,118.99,119.32,118.79,118.92,6202988
24-Jul-17,119.52,119.58,119.18,119.31,3654331
21-Jul-17,119.00,119.39,118.75,119.26,10135919
20-Jul-17,117.92,118.62,117.66,118.24,5571648
19-Jul-17,118.18,118.27,117.84,118.08,3205142
18-Jul-17,117.99,118.33,117.88,118.11,7158573
17-Jul-17,117.42,117.53,117.23,117.29,5170849
14-Jul-17,117.04,117.25,116.64,116.77,5788219
13-Jul-17,116.04,116.04,115.67,115.82,4148935
12-Jul-17,116.21,116.33,115.87,116.03,4654361
11-Jul-17,115.26,115.77,114.88,115.62,6637939
10-Jul-17,115.02,115.57,114.83,115.47,4970886
7-Jul-17,115.78,115.79,114.80,115.28,11153608
6-Jul-17,116.58,116.61,116.24,116.47,4443390
5-Jul-17,115.91,116.67,115.87,116.52,7223256
3-Jul-17,116.54,116.85,115.94,116.09,12145049
30-Jun-17,118.08,118.41,117.95,118.02,7272612
29-Jun-17,117.97,118.64,117.91,118.32,7705165
28-Jun-17,119.06,119.06,118.68,118.90,4220130
27-Jun-17,118.87,119.05,118.48,118.81,5759344
26-Jun-17,118.29,118.54,118.17,118.36,6593380
23-Jun-17,119.65,119.66,119.31,119.43,9258628
22-Jun-17,119.13,119.20,118.60,118.92,5811927
21-Jun-17,118.15,118.66,118.15,118.52,4723749
20-Jun-17,118.42,118.46,118.07,118.18,4617387
19-Jun-17,118.74,118.84,118.33,118.43,6786973
16-Jun-17,119.35,119.50,119.24,119.34,6435674
15-Jun-17,119.22,119.50,119.13,119.32,6796668
14-Jun-17,121.51,121.88,119.57,119.82,21124841
13-Jun-17,119.95,120.71,119.92,120.48,3786628
12-Jun-17,120.33,120.68,120.26,120.36,4927375
9-Jun-17,120.46,120.91,120.40,120.54,7054664
8-Jun-17,122.07,122.08,120.95,121.65,8169807
7-Jun-17,122.79,123.16,122.02,122.45,9039175
6-Jun-17,123.09,123.31,122.77,123.10,10798527
5-Jun-17,121.91,121.94,121.58,121.73,3979162
2-Jun-17,121.31,121.71,121.19,121.61,7268054
1-Jun-17,120.17,120.74,120.06,120.72,8702543
31-May-17,120.31,121.23,120.26,120.62,10360724
30-May-17,120.24,120.33,119.95,120.14,4507493
26-May-17,120.49,120.79,120.33,120.54,6791648
25-May-17,119.52,119.70,119.29,119.48,4105092
24-May-17,119.07,119.74,118.92,119.61,7064911
23-May-17,120.13,120.19,118.98,119.14,8305434
22-May-17,119.63,120.14,119.58,119.90,5132485
19-May-17,119.39,119.54,118.88,119.40,6787254
18-May-17,119.77,119.84,118.56,118.81,10341141
17-May-17,119.36,120.02,119.27,119.79,13936876
16-May-17,117.45,117.91,117.40,117.65,4942822
15-May-17,117.52,117.54,116.99,117.14,5019589
12-May-17,117.07,117.16,116.73,116.83,5434477
11-May-17,116.21,116.84,116.18,116.50,6274368
10-May-17,116.42,116.50,115.86,116.04,4290459
9-May-17,116.18,116.24,115.56,116.05,6801280
8-May-17,117.03,117.14,116.68,116.75,5438375
5-May-17,116.86,117.07,116.68,117.01,7127199
4-May-17,116.81,117.28,116.63,116.79,12406931
3-May-17,119.18,119.34,117.92,117.98,10811052
2-May-17,119.30,119.65,119.24,119.65,4900784
1-May-17,120.21,120.75,119.35,119.67,9331809
28-Apr-17,120.34,120.77,120.27,120.77,9134246
27-Apr-17,120.42,120.60,119.97,120.39,8266954
26-Apr-17,120.21,120.96,119.87,120.84,9758844
25-Apr-17,120.53,120.87,120.05,120.25,10344784
24-Apr-17,120.77,121.51,120.66,121.48,11053559
21-Apr-17,122.14,122.61,121.73,122.31,15608031
20-Apr-17,121.82,122.17,121.50,121.96,11787330
19-Apr-17,122.25,122.26,121.28,121.73,8472702
18-Apr-17,122.43,123.03,121.73,122.82,10903701
17-Apr-17,122.55,123.07,121.99,122.24,8469580
13-Apr-17,122.54,122.65,122.03,122.60,9892641
12-Apr-17,121.38,122.22,121.14,122.02,9502540
11-Apr-17,120.33,121.40,120.29,121.19,12455294
10-Apr-17,119.04,119.69,118.85,119.46,4623673
7-Apr-17,120.30,120.67,119.14,119.46,12351114
6-Apr-17,119.22,119.42,118.98,119.18,4633470
5-Apr-17,118.62,119.63,118.40,119.62,8105952
4-Apr-17,119.59,119.77,119.38,119.62,4687301
3-Apr-17,118.69,119.37,118.67,119.35,6105704
31-Mar-17,118.61,119.08,118.46,118.72,8520847
30-Mar-17,118.77,119.12,118.32,118.47,6894572
29-Mar-17,119.22,119.45,119.05,119.33,4911042
28-Mar-17,119.74,119.83,118.78,119.04,7112787
27-Mar-17,119.93,120.08,119.27,119.53,8519573
24-Mar-17,118.50,119.21,118.39,118.86,6879634
23-Mar-17,119.15,119.25,118.32,118.67,6201129
22-Mar-17,118.87,119.15,118.68,118.83,7287350
21-Mar-17,117.77,118.80,117.76,118.54,9567932
20-Mar-17,117.31,117.60,117.20,117.56,4000202
17-Mar-17,117.04,117.27,116.91,116.99,4683039
16-Mar-17,117.27,117.29,116.69,116.73,9322018
15-Mar-17,114.29,116.25,114.02,116.25,13524082
14-Mar-17,114.54,115.01,114.02,114.12,5301810
13-Mar-17,114.63,114.91,114.50,114.74,5807391
10-Mar-17,114.45,114.73,114.13,114.72,7929500
9-Mar-17,114.78,115.02,114.40,114.47,6410916
8-Mar-17,114.99,115.36,114.94,115.06,7620924
7-Mar-17,116.13,116.25,115.62,115.78,6846277
6-Mar-17,117.35,117.35,116.63,116.72,4883547
3-Mar-17,116.95,117.73,116.44,117.51,10665818
2-Mar-17,117.76,118.34,117.22,117.58,10986262
1-Mar-17,117.98,119.12,117.95,119.06,8679637
28-Feb-17,119.70,119.84,118.82,119.23,8727832
27-Feb-17,119.73,120.40,119.12,119.12,9263499
24-Feb-17,119.74,119.88,119.25,119.70,9808957
23-Feb-17,118.76,119.16,118.68,118.94,7523304
22-Feb-17,117.86,118.02,117.24,117.91,6057179
21-Feb-17,117.04,118.00,116.77,117.75,6166875
17-Feb-17,118.19,118.40,117.62,117.68,7338065
16-Feb-17,117.93,118.35,117.83,118.08,6378650
15-Feb-17,116.33,117.48,116.25,117.45,7088419
14-Feb-17,117.51,117.56,116.38,116.93,6927842
13-Feb-17,116.73,116.95,116.15,116.80,7354924
10-Feb-17,116.68,117.86,116.67,117.60,9072146
9-Feb-17,118.32,118.58,117.20,117.29,8177210
8-Feb-17,118.09,118.59,117.81,118.19,9633443
7-Feb-17,117.31,117.74,117.20,117.46,8621039
6-Feb-17,117.07,117.74,116.74,117.70,8547843
3-Feb-17,115.73,116.36,115.71,116.13,9455464
2-Feb-17,116.26,116.57,115.62,115.84,7189461
1-Feb-17,114.66,115.45,114.14,115.20,6932889
31-Jan-17,115.27,115.82,115.18,115.55,10421882
30-Jan-17,113.61,114.30,113.54,113.97,7687782
27-Jan-17,112.93,113.54,112.81,113.49,6706570
26-Jan-17,113.24,113.50,112.83,113.26,5390463
25-Jan-17,114.14,114.44,113.68,114.32,6697523
24-Jan-17,115.69,116.02,114.94,115.27,5798840
23-Jan-17,115.51,116.17,115.20,115.79,6373102
20-Jan-17,114.65,115.76,114.32,115.05,12261510
19-Jan-17,114.32,114.96,113.94,114.77,6437008
18-Jan-17,115.74,115.92,114.56,114.87,6498109
17-Jan-17,115.89,115.96,115.50,115.85,9142370
13-Jan-17,113.65,114.31,113.19,114.21,7261454
12-Jan-17,114.52,114.93,113.80,113.91,8457319
11-Jan-17,112.87,114.19,112.17,113.50,9918689
10-Jan-17,112.94,113.45,112.64,113.15,6093404
9-Jan-17,112.39,113.04,112.18,112.67,5674636
6-Jan-17,111.81,112.38,111.57,111.75,7686070
5-Jan-17,112.16,112.94,112.07,112.58,9606761
4-Jan-17,111.06,111.22,110.61,110.86,4904119
3-Jan-17,109.62,111.00,109.37,110.47,7527353
30-Dec-16,110.38,110.62,109.53,109.61,8873725
29-Dec-16,109.23,110.53,109.16,110.29,7563896
28-Dec-16,108.40,108.91,108.29,108.86,5091228
27-Dec-16,108.61,108.67,108.24,108.56,3685504
23-Dec-16,107.84,108.25,107.80,107.93,5012242
22-Dec-16,107.68,108.10,107.49,107.59,4942759
21-Dec-16,108.25,108.31,107.68,107.85,5188680
20-Dec-16,107.47,108.00,107.29,107.79,7321100
19-Dec-16,108.60,108.88,108.34,108.59,5339066
16-Dec-16,107.95,108.78,107.48,108.05,10602807
15-Dec-16,107.85,107.99,107.00,107.34,14427539
14-Dec-16,110.95,110.98,108.52,108.83,12933647
13-Dec-16,110.57,110.79,110.06,110.45,7961600
12-Dec-16,110.59,111.11,110.27,110.82,6156717
9-Dec-16,111.18,111.25,110.19,110.40,10507697
8-Dec-16,111.72,111.87,111.46,111.57,5977792
7-Dec-16,112.13,112.50,111.77,111.83,4901840
6-Dec-16,111.69,112.03,111.19,111.43,5533689
5-Dec-16,111.15,112.11,110.31,111.54,10187891
2-Dec-16,111.89,112.32,111.78,112.14,7416468
1-Dec-16,111.11,111.99,110.63,111.54,10236970
30-Nov-16,112.69,112.79,111.50,111.75,10925538
29-Nov-16,112.76,113.48,112.69,113.27,7438616
28-Nov-16,113.23,113.84,112.77,113.80,5655402
25-Nov-16,113.42,113.51,112.35,112.61,5345889
23-Nov-16,113.87,113.88,112.65,113.25,20982117
22-Nov-16,115.72,115.79,114.98,115.54,6391928
21-Nov-16,115.72,115.94,115.29,115.58,6654155
18-Nov-16,115.52,115.77,114.96,115.15,10444285
17-Nov-16,116.91,117.22,115.44,116.17,10324091
16-Nov-16,117.27,117.27,116.58,116.77,5486129
15-Nov-16,116.46,117.24,116.29,117.12,9348572
14-Nov-16,116.12,117.14,115.49,116.11,20729377
11-Nov-16,119.65,119.69,116.23,117.10,20381828
10-Nov-16,121.52,121.54,119.38,119.75,22267962
9-Nov-16,124.30,124.35,121.10,121.56,18236450
8-Nov-16,122.12,123.09,121.36,121.64,9480647
7-Nov-16,122.66,122.71,121.88,122.15,10014986
4-Nov-16,124.40,124.54,124.04,124.39,8594613
3-Nov-16,123.36,124.33,123.35,124.30,10093107
2-Nov-16,123.76,124.76,123.56,123.64,15692420
1-Nov-16,122.80,123.21,122.57,122.73,13384307
31-Oct-16,121.51,122.00,121.23,121.94,7722055
28-Oct-16,121.20,122.48,120.81,121.58,11639887
27-Oct-16,121.11,121.18,120.75,121.01,4335994
26-Oct-16,121.37,121.53,120.61,120.79,3905914
25-Oct-16,120.89,121.76,120.86,121.47,6141110
24-Oct-16,121.28,121.30,120.16,120.56,5481119
21-Oct-16,120.90,120.92,120.55,120.83,6707783
20-Oct-16,121.39,121.59,120.63,120.74,6496724
19-Oct-16,121.13,121.46,120.89,121.11,6019772
18-Oct-16,120.08,120.64,119.82,120.42,4919730
17-Oct-16,119.70,119.92,119.58,119.68,4777878
14-Oct-16,119.37,120.16,119.29,119.36,6577309
13-Oct-16,120.00,120.42,119.80,120.03,7184647
12-Oct-16,119.72,120.07,119.29,119.74,4848622
11-Oct-16,119.92,120.16,119.53,119.55,6065330
10-Oct-16,120.16,120.42,119.92,120.16,4514368
7-Oct-16,120.49,120.58,118.42,119.74,17907270
6-Oct-16,119.69,119.98,119.24,119.66,17917672
5-Oct-16,121.33,121.59,120.40,120.78,14718120
4-Oct-16,123.16,123.18,120.86,120.97,24372722
3-Oct-16,125.32,125.46,124.90,125.32,9044105
30-Sep-16,126.52,126.55,125.24,125.64,11204261
29-Sep-16,125.84,126.34,125.54,126.07,7448407
28-Sep-16,126.25,126.40,125.73,126.22,6757652
27-Sep-16,126.86,126.90,126.34,126.62,6220662
26-Sep-16,127.96,128.04,127.42,127.55,5842740
23-Sep-16,127.60,127.86,127.43,127.65,7702291
22-Sep-16,127.57,128.20,127.50,127.57,15188007
21-Sep-16,126.33,127.42,125.96,127.27,13646448
20-Sep-16,125.31,125.59,125.17,125.44,5672021
19-Sep-16,125.61,125.62,125.25,125.32,4959637
16-Sep-16,124.81,125.24,124.67,125.06,18995065
15-Sep-16,125.73,126.10,124.91,125.37,12978856
14-Sep-16,126.10,126.54,126.03,126.18,5820694
13-Sep-16,126.47,126.60,125.53,125.75,8866372
12-Sep-16,126.31,126.92,125.97,126.59,11140336
9-Sep-16,127.24,127.51,126.70,126.75,12485597
8-Sep-16,128.16,128.52,127.40,127.59,10561791
7-Sep-16,128.79,128.86,128.12,128.27,8859847
6-Sep-16,127.40,129.08,127.27,128.71,15115279
2-Sep-16,126.29,126.57,125.58,126.57,11278200
1-Sep-16,124.67,125.51,124.55,125.29,12877745
31-Aug-16,124.73,125.11,124.64,124.78,13324105
30-Aug-16,125.73,125.95,124.88,125.03,9877044
29-Aug-16,126.00,126.48,125.93,126.30,5562409
26-Aug-16,126.88,128.11,125.82,126.05,17967738
25-Aug-16,125.98,126.31,125.96,126.23,5926294
24-Aug-16,126.92,126.97,126.30,126.34,13539655
23-Aug-16,128.14,128.22,127.61,127.76,9038482
22-Aug-16,127.63,127.92,127.45,127.78,8627222
19-Aug-16,128.08,128.67,127.86,127.97,10660119
18-Aug-16,128.89,129.17,128.58,129.11,9500636
17-Aug-16,128.17,128.99,127.46,128.50,12034752
16-Aug-16,128.12,129.04,128.00,128.47,8678143
15-Aug-16,127.62,128.25,127.60,127.84,4530841
12-Aug-16,129.12,129.26,127.20,127.40,15395846
11-Aug-16,128.61,129.19,127.48,127.67,9763821
10-Aug-16,129.12,129.20,128.15,128.56,6196202
9-Aug-16,127.94,128.14,127.75,127.96,7500421
8-Aug-16,127.29,127.70,127.27,127.44,6773804
5-Aug-16,128.46,128.55,127.39,127.55,16205122
4-Aug-16,130.01,130.28,129.82,129.87,4908131
3-Aug-16,129.95,129.96,129.27,129.65,5010703
2-Aug-16,130.04,130.55,129.94,130.27,7652767
1-Aug-16,128.57,129.34,128.56,129.22,7109898
29-Jul-16,128.42,129.41,127.88,128.98,13708194
28-Jul-16,128.09,128.20,127.20,127.66,9261756
